KEY;EN;RU;ES;PT;BR
Астрахань;Astrakhan;Астрахань;Astracán;Astracã;Astracã
Сталинград;Stalingrad;Сталинград;Stalingrado;Stalingrado;Stalingrado
Львов;Lviv;Львов;Leópolis;Lviv;Lviv
Мукачево;Mukachevo;Мукачево;Mukácheve;Mukachevo;Mukachevo
Кошице;Kosice;Кошице;Košice;Košice;Košice
Пшемысль;Przemysl;Пшемысль;Przemyśl;Przemyśl;Przemyśl
Катовице;Katowice;Катовице;Katowice;Katowice;Katowice
Краков;Krakow;Краков;Cracovia;Cracóvia;Cracóvia
Лодзь;Lodz;Лодзь;Łódź;Lódz;Lódz
Данциг;Danzig;Данциг;Dánzig;Danzig;Danzig
Кенигсберг;Koenigsberg;Кенигсберг;Königsberg;Königsberg;Königsberg
Белосток;Bialystok;Белосток;Białystok;Bialystok;Bialystok
Шецин;Sheqing;Шецин;sheqing;Sheqing;Sheqing
Бреслау;Breslau;Бреслау;Breslau;Breslau;Breslau
Познань;Poznan;Познань;Poznań;Poznań;Poznań
Ровно;Rivne;Ровно;Rivne;Rivne;Rivne
Тарнополь;Tarnopol;Тарнополь;Tarnópol;Tarnopol;Tarnopol
Москва;Moscow;Москва;Moscú;Moscou;Moscou
Хельсинки;Helsinki;Хельсинки;helsinki;Helsínquia;Helsínquia
Стокгольм;Stockholm;Стокгольм;Estocolmo;Estocolmo;Estocolmo
Осло;Oslo;Осло;Oslo;Oslo;Oslo
Копенгаген;Copenhagen;Копенгаген;Copenhague;Copenhague;Copenhague
Эр-Рияд;Riyadh;Эр-Рияд;Riad;Riad;Riad
Рейкьявик;Reykjavik;Рейкьявик;Reikiavik;Reykjavík;Reykjavík
Анкара;Ankara;Анкара;ankara;Ancara;Ancara
Афины;Athens;Афины;Atenas;Atenas;Atenas
Тирана;Tirana;Тирана;Tirana;Tirana;Tirana
Берн;Berne;Берн;Berna;Berna;Berna
Сана;Sana;Сана;sana;Sana;Sana
Маскат;Muscat;Маскат;Moscatel;Mascate;Mascate
Мурманск;Murmansk;Мурманск;Múrmansk;Murmansk;Murmansk
Череповец;Cherepovets;Череповец;Cherepovéts;Tcherepovets;Tcherepovets
Ярославль;Yaroslavl;Ярославль;Yaroslavl;Iaroslavl;Iaroslavl
Владимир;Vladimir;Владимир;Vladímir;Vladimir;Vladimir
Горький;Gorky;Горький;Gorki;Gorky;Gorky
Чебоксары;Cheboksary;Чебоксары;Cheboksary;Tcheboksary;Tcheboksary
Йошкар-Ола;Yoshkar-Ola;Йошкар-Ола;Yoshkar-Olá;Yoshkar-Ola;Yoshkar-Ola
Архангельск;Arkhangelsk;Архангельск;Arkhangelsk;Arcangel;Arcangel
Костомукша;Kostomuksha;Костомукша;Kostomuksha;Kostomuksha;Kostomuksha
Петрозаводск;Petrozavodsk;Петрозаводск;Petrozavodsk;Petrozavodsk;Petrozavodsk
Вологда;Vologda;Вологда;Vólogda;Vologda;Vologda
Кострома;Kostroma;Кострома;Kostromá;Kostroma;Kostroma
Иваново;Ivanovo;Иваново;Ivánovo;Ivanovo;Ivanovo
Саратов;Saratov;Саратов;Sarátov;Saratov;Saratov
Липецк;Lipetsk;Липецк;Lípetsk;Lipetsk;Lipetsk
Тамбов;Tambov;Тамбов;Tambov;Tambov;Tambov
Рязань;Ryazan;Рязань;Riazán;Riazan;Riazan
Тула;Tula;Тула;tula;Tula;Tula
Калуга;Kaluga;Калуга;Kaluga;Kaluga;Kaluga
Ржев;Rzhev;Ржев;Rzhev;Rjev;Rjev
Саранск;Saransk;Саранск;Saransk;Saransk;Saransk
Пенза;Penza;Пенза;penza;Penza;Penza
Ульяновск;Ulyanovsk;Ульяновск;Uliánovsk;Ulianovsk;Ulianovsk
Кеми;Kemi;Кеми;kemi;Kemi;Kemi
Оулу;Oulu;Оулу;Oulu;Oulu;Oulu
Вааса;Vaasa;Вааса;Vaasa;Vaasa;Vaasa
Тампере;Tampere;Тампере;Tampere;Tampere;Tampere
Савонлинна;Savonlinna;Савонлинна;Savonlinna;Savonlinna;Savonlinna
Гётеборг;Gothenburg;Гётеборг;Gotemburgo;Gotemburgo;Gotemburgo
Мальме;Malmo;Мальме;Malmö;Malmö;Malmö
Висбю;Visby;Висбю;Visby;Visby;Visby
Ольборг;Aalborg;Ольборг;Ålborg;Aalborg;Aalborg
Клермон-Ферран;Clermont-Ferrand;Клермон-Ферран;Clermont-Ferrand;Clermont-Ferrand;Clermont-Ferrand
Гренобль;Grenoble;Гренобль;Grenoble;Grenoble;Grenoble
Безансон;Besançon;Безансон;Besanzón;Besançon;Besançon
Женева;Geneva;Женева;Ginebra;Genebra;Genebra
Цюрих;Zurich;Цюрих;Zúrich;Zurique;Zurique
Локарно;Locarno;Локарно;locarno;Locarno;Locarno
Грац;Graz;Грац;Graz;Graz;Graz
Филлах;Villach;Филлах;Villach;Vilach;Vilach
Линц;Linz;Линц;Linz;Linz;Linz
Дебрецен;Debrecen;Дебрецен;Debrecen;Debrecen;Debrecen
Задар;Zadar;Задар;Zadar;Zadar;Zadar
Баня-Лука;Banja Luka;Баня-Лука;Bania Luka;Banja Luka;Banja Luka
Ниш;Nis;Ниш;Niš;Nis;Nis
Крагуевац;Kragujevac;Крагуевац;Kragujevac;Kragujevac;Kragujevac
Янина;Ioannina;Янина;Ioánina;Joanina;Joanina
Александруполис;Alexandroupolis;Александруполис;Alejandrópolis;Alexandrópolis;Alexandrópolis
Коринф;Corinth;Коринф;Corinto;Corinto;Corinto
Ираклион;Heraklion;Ираклион;Heraclión;Iráclio;Iráclio
Анталья;Antalya;Анталья;Antalya;Antália;Antália
Измир;Izmir;Измир;Esmirna;Esmirna;Esmirna
Бурса;Bursa;Бурса;Bolsa;Bursa;Bursa
Конья;Konya;Конья;konya;Cônia;Cônia
Мерсин;Mersin;Мерсин;Mersin;Mersin;Mersin
Газинтеп;Gazintep;Газинтеп;Gazintep;Gazintep;Gazintep
Синоп;Sinop;Синоп;Sinop;Sinop;Sinop
Самсун;Samsun;Самсун;Samsung;Samsun;Samsun
Эрзинджан;Erzincan;Эрзинджан;Erzincan;Erzincan;Erzincan
Диярбакыр;Diyarbakir;Диярбакыр;Diyarbakır;Diarbaquir;Diarbaquir
Ван;Wang;Ван;Wang;Wang;Wang
Батуми;Batumi;Батуми;Batum;Batumi;Batumi
Карс;Kars;Карс;kars;Kars;Kars
Ардебиль;Ardabil;Ардебиль;Ardabil;Ardabil;Ardabil
Букан;Bukan;Букан;Bukan;Bukan;Bukan
Сененедж;Senenage;Сененедж;Senénage;Senenage;Senenage
Басра;Basra;Басра;Basora;Baçorá;Baçorá
Кербела;Karbala;Кербела;Kerbala;Carbala;Carbala
Эсхафан;Eshaphan;Эсхафан;Eshafán;Eshaphan;Eshaphan
Шираз;Shiraz;Шираз;shiraz;Xiraz;Xiraz
Мешхед;Mashhad;Мешхед;Mashhad;Mashad;Mashad
Бендер-Аббас;Bandar Abbas;Бендер-Аббас;Bandar Abbas;Bandar Abbas;Bandar Abbas
Медина;Medina;Медина;medina;Medina;Medina
Мекка;Mecca;Мекка;la meca;Meca;Meca
Сакака;Sakaka;Сакака;Sakaka;Sakaka;Sakaka
Доха;Doha;Доха;Doha;Doha;Doha
Абу-Даби;Abu Dhabi;Абу-Даби;Abu Dhabi;Abu Dabi;Abu Dabi
Хмельницкий;Khmelnitsky;Хмельницкий;Jmelnitsky;Khmelnitsky;Khmelnitsky
Винница;Vinnitsa;Винница;Vínnitsa;Vinnitsa;Vinnitsa
Житомир;Zhytomyr;Житомир;Zhytómyr;Jitomir;Jitomir
Солигорск;Soligorsk;Солигорск;Soligorsk;Soligorsk;Soligorsk
Даугавпилс;Daugavpils;Даугавпилс;Daugavpils;Daugavpils;Daugavpils
Тарту;Tartu;Тарту;Tartu;Tartu;Tartu
Урюпинск;Uryupinsk;Урюпинск;Uryupinsk;Uryupinsk;Uryupinsk
Михайловка;Mikhailovka;Михайловка;Mijailovka;Mikhailovka;Mikhailovka
Миллерово;Millerovo;Миллерово;Millerovo;Millerovo;Millerovo
Волгодонск;Volgodonsk;Волгодонск;Volgodonsk;Volgodonsk;Volgodonsk
Элиста;Elista;Элиста;Elistá;Elista;Elista
Казань;Kazan;Казань;Kazán;Cazã;Cazã
Ставрополь-на-Волге;Stavropol-on-Volga;Ставрополь-на-Волге;Stavropol del Volga;Stavropol-no-Volga;Stavropol-no-Volga
Оренбург;Orenburg;Оренбург;Oremburgo;Oremburgo;Oremburgo
Уфа;Ufa;Уфа;Ufá;Ufá;Ufá
Набережные Челны;Naberezhnye Chelny;Набережные Челны;Náberezhnye Chelny;Naberejnye Chelny;Naberejnye Chelny
Пермь;Permian;Пермь;Pérmico;Permiano;Permiano
Киров;Kirov;Киров;Kírov;Kirov;Kirov
Сыктывкар;Syktyvkar;Сыктывкар;Syktyvkar;Syktyvkar;Syktyvkar
Актау;Aktau;Актау;aktau;Aktau;Aktau
Костанай;Kostanay;Костанай;Kostanái;Kostanay;Kostanay
Петропавловск;Petropavlovsk;Петропавловск;Petropávlovsk;Petropavlovsk;Petropavlovsk
Алматы;Almaty;Алматы;almatý;Almaty;Almaty
Астана;Astana;Астана;Astaná;Astana;Astana
Караганда;Karaganda;Караганда;Karagandá;Karaganda;Karaganda
Самарканд;Samarkand;Самарканд;Samarcanda;Samarcanda;Samarcanda
Ташкент;Tashkent;Ташкент;Taskent;Tashkent;Tashkent
Бишкек;Bishkek;Бишкек;Biskek;Bisqueque;Bisqueque
Душанбе;Dushanbe;Душанбе;Dusambé;Duchambé;Duchambé
Ашхабад;Ashgabat;Ашхабад;Asjabad;Asgabate;Asgabate
Заболь;Illness;Заболь;Enfermedad;Doença;Doença
Бирдженд;Birjand;Бирдженд;Biryand;Birjand;Birjand
Керман;Kerman;Керман;Kermán;Kerman;Kerman
Сирджан;Sirjan;Сирджан;sirjan;Sirjan;Sirjan
Сераван;Seravan;Сераван;Seravan;Seravan;Seravan
Захедан;Zahedan;Захедан;Zahedán;Zaedã;Zaedã
Кум;Godfather;Кум;Padrino;Padrinho;Padrinho
Решт;Rasht;Решт;Rasht;Rasht;Rasht
Сари;Sari;Сари;Sari;Sari;Sari
Мазари-Шариф;Mazar-i-Sharif;Мазари-Шариф;Mazar-i-Sharif;Mazar-i-Sharif;Mazar-i-Sharif
Герат;Herat;Герат;Herāt;Herat;Herat
Фарах;Farah;Фарах;farah;Farah;Farah
Лашкаргах;Lashkar Gah;Лашкаргах;Lashkar Gah;Lashkar Gah;Lashkar Gah
Кандагар;Kandahar;Кандагар;Kandahar;Candaar;Candaar
Кабул;Kabul;Кабул;Kabul;Cabul;Cabul
Гвадар;Gwadar;Гвадар;Gwadar;Gwadar;Gwadar
Гвадар;Gwadar;Гвадар;Gwadar;Gwadar;Gwadar
Кветта;Quetta;Кветта;queta;Queta;Queta
Кветта;Quetta;Кветта;queta;Queta;Queta
Асьют;Asyut;Асьют;Asiut;Assiut;Assiut
Асуан;Aswan;Асуан;Asuán;Assuã;Assuã
Луксор;Luxor;Луксор;Lúxor;Luxor;Luxor
Донгола;Dongola;Донгола;Dongola;Dongola;Dongola
Атбара;Atbara;Атбара;Atbara;Atbara;Atbara
Хартум;Khartoum;Хартум;Jartum;Cartum;Cartum
Эль-Обейд;El Obeid;Эль-Обейд;El-Obeid;El-Obeid;El-Obeid
Эн-Нухуд;An-Nuhud;Эн-Нухуд;An-Nuhud;An-Nuhud;An-Nuhud
Ньяла;Nyala;Ньяла;Nyala;Niala;Niala
Эль-Фашер;El Fasher;Эль-Фашер;El-Fasher;El-Fasher;El-Fasher
Эль-Генейна;El Geneina;Эль-Генейна;El Geneina;El Geneina;El Geneina
Абеше;Abeche;Абеше;Abeche;Abeche;Abeche
Ниамей;Niamey;Ниамей;niamey;Niamey;Niamey
Маради;Maradi;Маради;maradi;Maradi;Maradi
Угадугу;Guess what?;Угадугу;¿Adivina qué?;Adivinha?;Adivinha?
Мопти;Mopti;Мопти;Moptí;Mopti;Mopti
Бамако;Bamako;Бамако;Bamako;Bamaco;Bamaco
Сигири;Siguiri;Сигири;Siguiri;Siguiri;Siguiri
Бисау;Bissau;Бисау;Bisáu;Bissau;Bissau
Зигиншор;Ziguinchor;Зигиншор;Ziguinchor;Ziguinchor;Ziguinchor
Дакар;Dakar;Дакар;dakar;Dacar;Dacar
Нуакшор;Nouakshore;Нуакшор;Costa de Nuakchot;Nouakshore;Nouakshore
Киффа;Kiffa;Киффа;Kifa;Kiffa;Kiffa
Атар;Atar;Атар;Atar;Atar;Atar
Нуадибу;Nouadhibou;Нуадибу;Nuadibú;Nouadhibou;Nouadhibou
Дахла;Dakhla;Дахла;Dajla;Dakhla;Dakhla
Эль-Аюн;Laayoune;Эль-Аюн;El Aaiún;El Aiune;El Aiune
Фес;Fes;Фес;Fez;Fez;Fez
Тслемен;Tslemen;Тслемен;tslemen;Tslemen;Tslemen
Асмара;Asmara;Асмара;Asmara;Asmara;Asmara
Кассала;Kassala;Кассала;Kasala;Cassala;Cassala
Джибути;Djibouti;Джибути;Yibuti;Djibuti;Djibuti
Мэкэле;Mekele;Мэкэле;mekele;Mekele;Mekele
Гондэр;Gondar;Гондэр;gondar;Gondar;Gondar
Бахр-Дар;Bahir Dar;Бахр-Дар;Bahir-Dar;Bahir Dar;Bahir Dar
Аламата;Alamata;Аламата;alamata;Almata;Almata
Дамар;Damar;Дамар;damar;Damar;Damar
Ходейда;Hodeidah;Ходейда;Hodeida;Hodeidah;Hodeidah
Аден;Aden;Аден;Adén;Áden;Áden
Джизан;Jizan;Джизан;Jizán;Jizan;Jizan
Абха;Abha;Абха;Abhá;Abha;Abha
Джедда;Jeddah;Джедда;Yeda;Jidá;Jidá
Табук;Tabuk;Табук;tabuk;Tabuque;Tabuque
Эль-Мукалла;El Mukalla;Эль-Мукалла;El Mukalla;El Mukalla;El Mukalla
Салала;Salalah;Салала;Salalah;Salalá;Salalá
Дубай;Dubai;Дубай;Dubái;Dubai;Dubai
Эль-Хуфуф;Al-Hofuf;Эль-Хуфуф;Al Hofuf;Al-Hofuf;Al-Hofuf
Венеция;Venice;Венеция;Venecia;Veneza;Veneza
Болонья;Bologna;Болонья;Bolonia;Bolonha;Bolonha
Генуя;Genoa;Генуя;Génova;Génova;Génova
Равенна;Ravenna;Равенна;Rávena;Ravena;Ravena
Гроссето;Grosseto;Гроссето;Grosseto;Grosseto;Grosseto
Неаполь;Naples;Неаполь;Nápoles;Nápoles;Nápoles
Бари;Bari;Бари;Barí;Bari;Bari
Мессина;Messina;Мессина;Mesina;Messina;Messina
Катания;Catania;Катания;catania;Catânia;Catânia
Сассари;Sassari;Сассари;Sássari;Sássari;Sássari
Кальяри;Cagliari;Кальяри;Cagliari;Cagliari;Cagliari
Аяччо;Ajaccio;Аяччо;Ajaccio;Ajácio;Ajácio
Анкона;Ancona;Анкона;Ancona;Ancona;Ancona
Пескара;Pescara;Пескара;Pescara;Pescara;Pescara
Волос;Hair;Волос;Cabello;Cabelo;Cabelo
Ларисса;Larissa;Ларисса;Larisa;Larissa;Larissa
Трикала;Trikala;Трикала;Tríkala;Tríkala;Tríkala
Каламатра;Kalamatra;Каламатра;Kalamatra;Kalamatra;Kalamatra
Яссы;Iasi;Яссы;Iasi;Iasi;Iasi
Бакэу;Bacau;Бакэу;Bacău;Bacau;Bacau
Сучава;Suceava;Сучава;Suceava;Suceava;Suceava
Дева;Virgo;Дева;Virgo;Virgem;Virgem
Сибиу;Sibiu;Сибиу;Sibiu;Sibiu;Sibiu
Сибиу;Sibiu;Сибиу;Sibiu;Sibiu;Sibiu
Браила;Braila;Браила;braila;Braila;Braila
Плевен;Pleven;Плевен;pleven;Pleven;Pleven
Хасково;Haskovo;Хасково;Jáskovo;Haskovo;Haskovo
Суботица;Subotica;Суботица;Subótica;Subótica;Subótica
Осиек;Osijek;Осиек;Osijek;Osijek;Osijek
Риека;Rijeka;Риека;Rijeka;Rijeka;Rijeka
Пула;Pula;Пула;Pula;Pula;Pula
Триест;Trieste;Триест;Trieste;Trieste;Trieste
Фрайбург;Freiburg;Фрайбург;Friburgo;Friburgo;Friburgo
Хейльбронн;Heilbronn;Хейльбронн;Heilbronn;Heilbronn;Heilbronn
Регенсбург;Regensburg;Регенсбург;Ratisbona;Ratisbona;Ratisbona
Вюрцбург;Wurzburg;Вюрцбург;Würzburg;Wurzburgo;Wurzburgo
Иннсбрук;Innsbruck;Иннсбрук;Innsbruck;Insbruck;Insbruck
Эрфурт;Erfurt;Эрфурт;Érfurt;Erfurt;Erfurt
Либерец;Liberec;Либерец;Liberec;Liberec;Liberec
Брно;Brno;Брно;Brno;Bruno;Bruno
Острава;Ostrava;Острава;Ostravá;Ostrava;Ostrava
Тренчин;Trencin;Тренчин;Trencina;Trencin;Trencin
Сомбатхей;Szombathely;Сомбатхей;Szombathely;Szombathely;Szombathely
Лешно;Leszno;Лешно;Leszno;Leszno;Leszno
Грюнберг;Grünberg;Грюнберг;Grünberg;Grunberg;Grunberg
Быдгощ;Bydgoszcz;Быдгощ;Bydgoszcz;Bydgoszcz;Bydgoszcz
Ольштын;Olsztyn;Ольштын;Olsztyn;Olsztyn;Olsztyn
Радом;Radom;Радом;Radom;Radom;Radom
Кельце;Kielce;Кельце;Kielce;Kielce;Kielce
Калиш;Kalisz;Калиш;Kalisz;Kalisz;Kalisz
Люблин;Lublin;Люблин;Lublin;Lublin;Lublin
Седльце;Siedlce;Седльце;Siedlce;Siedlce;Siedlce
Ле-Ман;Le Mans;Ле-Ман;le Mans;Le Mans;Le Mans
Бурж;Burj;Бурж;burj;Burj;Burj
Валанс;Valence;Валанс;Valencia;Valência;Valência
Бержерак;Bergerac;Бержерак;Bergerac;Bergerac;Bergerac
Ля-Рошель;La Rochelle;Ля-Рошель;La Rochela;La Rochelle;La Rochelle
По;By;По;Por;Por;Por
Перпиньян;Perpignan;Перпиньян;Perpiñán;Perpinhã;Perpinhã
Герона;Gerona;Герона;Gerona;Girona;Girona
Лерида;Lleida;Лерида;Lérida;Lérida;Lérida
Сарагоса;Zaragoza;Сарагоса;zaragoza;Saragoça;Saragoça
Лоргоньо;Lorgonyo;Лоргоньо;lorgonyo;Lorgonyo;Lorgonyo
Толедо;Toledo;Толедо;Toledo;Toledo;Toledo
Бадахос;Badajoz;Бадахос;Badajoz;Badajoz;Badajoz
Кордоба;Cordoba;Кордоба;Córdoba;Córdoba;Córdoba
Альбасете;Albacete;Альбасете;albacete;Albacete;Albacete
Самара;Samara;Самара;Sámara;Samara;Samara
Донецк;Donetsk;Донецк;Donetsk;Donetsk;Donetsk
Луганск;Lugansk;Луганск;Lugansk;Lugansk;Lugansk
Юзовка;Yuzovka;Юзовка;Yuzovka;Yuzovka;Yuzovka
Нижний Новгород;Nizhny Novgorod;Нижний Новгород;Nizhny Novgorod;Nizhny Novgorod;Nizhny Novgorod
Санкт-Петербург;Saint Petersburg;Санкт-Петербург;San Petersburgo;São Petersburgo;São Petersburgo
Тольятти;Tolyatti;Тольятти;Toliatti;Togliatti;Togliatti
Турбат;Turbat;Турбат;Turbat;Turbat;Turbat
Пешавар;Peshawar;Пешавар;Peshawar;Peshawar;Peshawar
Крайова;Craiova;Крайова;Craiova;Craiova;Craiova
Волгоград;Volgograd;Волгоград;Volgogrado;Volgogrado;Volgogrado
Царицын;Tsaritsyn;Царицын;Tsaritsyn;Tsaritsyn;Tsaritsyn
// технологии;// технологии;// технологии;// технологии;// технологии;// технологии
Прицельные приспособления;Sights;Прицельные приспособления;Monumentos;Vistas;Vistas
Броня II;Armor II;Броня II;Armadura II;Armadura II;Armadura II
Броня;Armor;Броня;Armadura;armaduras;armaduras
Армия;Army;Армия;Ejército;Exército;Exército
Ранняя артиллерия;Early artillery;Ранняя артиллерия;Artillería temprana;Artilharia antiga;Artilharia antiga
Улучшенная артиллерия;Improved Artillery;Улучшенная артиллерия;Artillería mejorada;Artilharia Melhorada;Artilharia Melhorada
Производство автомобилей;Automotive production;Производство автомобилей;Producción automotriz;Produção automotiva;Produção automotiva
Дульный тормоз;Muzzle brake;Дульный тормоз;Freno de boca;Fucinho feio;Fucinho feio
Двигатель II;Engine II;Двигатель II;Motor II;Motor II;Motor II
Двигатель;Engine;Двигатель;Motor;Motor;Motor
Бронетехника;Armored vehicles;Бронетехника;Vehículos blindados;Veículos blindados;Veículos blindados
Регулярная армия;Regular army;Регулярная армия;Ejército regular;Exército regular;Exército regular
Элитная пехота;Elite infantry;Элитная пехота;Infantería de élite;Infantaria de elite;Infantaria de elite
Люлька;Cradle;Люлька;Cuna;Berço;Berço
Щиток;shield;Щиток;blindaje;escudo;escudo
Моторизированная пехота;Motorized infantry;Моторизированная пехота;Infantería motorizada;Infantaria motorizada;Infantaria motorizada
Бронированная мотопехота;Armored motorized infantry;Бронированная мотопехота;Infantería motorizada blindada;Infantaria motorizada blindada;Infantaria motorizada blindada
Накатник;Knurl;Накатник;Acordonar;serrilhado;serrilhado
Нефтеперерабатывающие заводы;Oil refineries;Нефтеперерабатывающие заводы;Refinerías de petroleo;Refinarias de petróleo;Refinarias de petróleo
Изготовление резины;Rubber manufacturing;Изготовление резины;Fabricación de caucho;Fabricação de borracha;Fabricação de borracha
Щитовое прикрытие;Shield cover;Щитовое прикрытие;Cubierta protectora;Capa de escudo;Capa de escudo
Синтетический каучук;Synthetic rubber;Синтетический каучук;Caucho sintético;Borracha sintética;Borracha sintética
Сошники;Openers;Сошники;Abridores;Abridores;Abridores
Станины;Beds;Станины;Camas;Camas;Camas
Ствол;Trunk;Ствол;Trompa;Porta-malas;Porta-malas
Лёгкий танк;Light tank;Лёгкий танк;tanque ligero;Tanque leve;Tanque leve
Средний танк;Medium tank;Средний танк;Tanque mediano;Tanque médio;Tanque médio
Производство шин;Tire production;Производство шин;Producción de neumáticos;Produção de pneus;Produção de pneus
Тормоз отката;Rollback brake;Тормоз отката;freno de retroceso;Freio de reversão;Freio de reversão
Инструкторы армии;Army instructors;Инструкторы армии;instructores del ejército;Instrutores do exército;Instrutores do exército
Продвинутые тренировочные полигоны;Advanced training grounds;Продвинутые тренировочные полигоны;Campos de entrenamiento avanzado;Campos de treinamento avançado;Campos de treinamento avançado
Обучение солдат II;Soldier Training II;Обучение солдат II;Entrenamiento de soldados II;Treinamento de Soldados II;Treinamento de Soldados II
Обучение солдат;Soldier training;Обучение солдат;Entrenamiento de soldados;Treinamento de soldado;Treinamento de soldado
Производство грузовиков;Truck production;Производство грузовиков;producción de camiones;Produção de caminhões;Produção de caminhões
Современное снаряжение;Modern equipment;Современное снаряжение;Equipo moderno;Equipamento moderno;Equipamento moderno
Усовершенствованное оружие;Advanced Weapons;Усовершенствованное оружие;Armas avanzadas;Armas Avançadas;Armas Avançadas
Раннее ПТО;Early VET;Раннее ПТО;FP temprana;EFP precoce;EFP precoce
Улучшенное ПТО;Improved PTO;Улучшенное ПТО;Toma de fuerza mejorada;Tomada de força melhorada;Tomada de força melhorada
Стандартная переработка нефти;Standard oil refining;Стандартная переработка нефти;Refinación de petróleo estándar;Refino de petróleo padrão;Refino de petróleo padrão
Улучшенная переработка нефти;Improved oil refining;Улучшенная переработка нефти;Refinación de petróleo mejorada;Melhor refino de petróleo;Melhor refino de petróleo
Кавалерия;Cavalry;Кавалерия;Caballería;Cavalaria;Cavalaria
Улучшенная Кавалерия;Improved Cavalry;Улучшенная Кавалерия;Caballería mejorada;Cavalaria Melhorada;Cavalaria Melhorada
Броня III;Armor III;Броня III;Armadura III;Armadura III;Armadura III
Двигатель III;Engine III;Двигатель III;Motor III;Motor III;Motor III
Тяжелый танк;Heavy tank;Тяжелый танк;Tanque pesado;Tanque pesado;Tanque pesado
NumberGoodiser.thounsand;K;тыс.;mil;milhar;milhar
NumberGoodiser.million;M;млн.;millón;milhão;M
NumberGoodiser.billion;B;млрд.;MM;Bil;Bil
Date.0;January;Январь;Enero;Janeiro;Janeiro
Date.1;February;Февраль;Febrero;Fevereiro;Fevereiro
Date.2;March;Март;Marzo;Marchar;Marchar
Date.3;April;Апрель;Abril;abril;abril
Date.4;May;Май;Puede;Poderia;Poderia
Date.5;June;Июнь;Junio;Junho;Junho
Date.6;July;Июль;Julio;Julho;Julho
Date.7;August;Август;Agosto;Agosto;Agosto
Date.8;September;Сентябрь;Septiembre;Setembro;Setembro
Date.9;October;Октябрь;Octubre;Outubro;Outubro
Date.10;November;Ноябрь;Noviembre;novembro;novembro
Date.11;December;Декабрь;Diciembre;dezembro;dezembro
Diplomaty.AcceptAll;Accept all;Принять все;Acepta todo;Aceite tudo;Aceite tudo
Diplomaty.DeclineAll;Decline all;Отклонить все;Rechazar todo;Rejeitar tudo;Rejeitar tudo
Diplomaty.TheyOffersToYou;They offer to you;Они предлагают вам;te ofrecen;Eles oferecem a você;Eles oferecem a você
Diplomaty.NewOffer;New offer;Новое предложение;Nueva oferta;Nova oferta;Nova oferta
NewTemplateText;New template;Новый шаблон;Nueva plantilla;Novo modelo;Novo modelo
Diplomaty.Accept;Accept;Принять;Aceptar;Aceitar;Aceitar
Diplomaty.Decline;Reject;Отклонить;Rechazar;Rejeitar;Rejeitar
VerifyBreakBuildingText;Destroy a building;Разрушить здание;Destruir un edificio;Destruir um edifício;Destruir um edifício
FightUI.Victory;Victory;Победа;Victoria;Vitória;Vitória
FightUI.Defeat;Defeat;Поражение;Fracaso;Derrota;Derrota
FightUI.Attack;Attack;Атаковать;Ataque;Ataque;Ataque
FightUI.AttackerLoss;Attacker losses;Потери атакующего;Pérdidas del atacante;Perdas do atacante;Perdas do atacante
FightUI.AttackerGains;Attacker acquisitions;Приобретения атакующего;Adquisiciones de atacantes;Aquisições de invasores;Aquisições de invasores
FightUI.DefenderLoss;Defender losses;Потери защищающегося;Pérdidas de defensores;Perdas do defensor;Perdas do defensor
FightUI.DefenderGains;Acquisitions of the defender;Приобретения защищающегося;Adquisiciones del defensor.;Aquisições do defensor;Aquisições do defensor
FightUI.AnnexRegion;Capture a region;Захватить регион;Capturar una región;Capturar uma região;Capturar uma região
LosePanelTitle;You lose;Вы проиграли;Tú pierdes;Você perdeu;Você perdeu
LosePanelText;Your country has capitulated!;Ваша страна капитулировала!;¡Tu país ha capitulado!;Seu país capitulou!;Seu país capitulou!
EnterNumberPlaceholder;Enter the number...;Введите число...;Introduzca el número...;Digite o número...;Digite o número...
MarketTitle;Resource Market;Рынок ресурсов;Mercado de recursos;Mercado de Recursos;Mercado de Recursos
Market.Oil;Oil;Нефть;Aceite;Óleo;Óleo
Market.Steel;Steel;Сталь;Acero;Aço;Aço
Market.Alluminum;Aluminum;Аллюминий;Aluminio;Alumínio;Alumínio
Market.Rubber;Rubber;Резина;Goma;Borracha;Borracha
Market.AlreadyPurchasing;You're already buying this;Вы уже покупаете это;Ya estas comprando esto;Você já está comprando isso;Você já está comprando isso
Market.PurchaseTitle;Purchasing resources;Покупка ресурсов;Compra de recursos;Compra de recursos;Compra de recursos
Market.Buy;Buy;Купить;Comprar;Comprar;Comprar
Market.YouWillPay;You'll pay every turn;Вы будете платить каждый ход;Pagarás cada turno;Você pagará cada turno;Você pagará cada turno
Market.Refund;You make a purchase smaller than the previous one, so you get a refund for the turn;Вы совершаете покупку меньше предыдущей, поэтому получаете возврат средств за ход;Realizas una compra inferior a la anterior, por lo que obtienes un reembolso por la mudanza;Você faz uma compra menor que a anterior e recebe o reembolso da mudança;Você faz uma compra menor que a anterior e recebe o reembolso da mudança
EnterTextPlaceholder;Enter text...;Введите текст...;Ingrese texto...;Digite o texto...;Digite o texto...
Market.PurchaseDesc;Enter the quantity you wish to buy;Введите количество, которое Вы желаете купить;Ingrese la cantidad que desea comprar;Insira a quantidade que deseja comprar;Insira a quantidade que deseja comprar
